Text,Class
"""ഇവളുടെ പ്രസംഗം കേട്ടിട്ടുണ്ടോ സ്കൂൾ കുട്ടികൾ കാണാപ്പാഠം പഠിച്ചിട്ട് പറയുന്നതുപോലെ തന്നെ. ഒരു കഴിവും ഇല്ലാത്ത വ്യക്തി.കോപ്പിയടിക്കാൻ പോലും ഒരു കഴിവില്ല കഷ്ടം തന്നെ. ഒന്നും പ്രസംഗിക്കാൻ അറിയാൻ മേലാത്തത് കൊണ്ട്,  അവളുടെ അപ്പന്റെ മദ്യക്കുപ്പി അവളുടെ അമ്മ കുടിച്ചു തീർത്തു എന്ന് പറയുന്ന ഗാനത്തെ വരെ പ്രസംഗിച്ച് വഷളാക്കിയത് കണ്ടതല്ലേ. കള്ളത്തരത്തിൽ ഒപ്പിച്ചെടുത്തത് അല്ലാതെ ഒറിജിനലായി വിവരമുള്ള ആരെങ്കിലും ഉണ്ടോ ഇപ്പോൾ കമ്മ്യൂണിസ്റ്റ് പാർട്ടിയിൽ""",Non-abusive
മനോരമ  ഇപ്പോൾ നടത്തിക്കൊണ്ടുയിരിക്കുന്നത്  വെറും  വടുവപ്പണി  യാണ്!!,Non-abusive
ഡോക്ടർ തന്നെയല്ലേ ദിൽഷയോട് പറഞ്ഞത് ഡോക്ടറെയും ബ്ലെസ്ലിയെയും ഒരുമിച്ച് പറയരുത് അത് ഡോക്ടർക്ക് മോശമാണ്. ഇതിനാണ് രണ്ടുപേരെയും കൂട്ടിക്കെട്ടി ഡോക്ടറെ നാണം കെടുത്തുന്നത്,Non-abusive
ഇനി  തൽപ്പര്യേം ഇല്ല മുത്തേ റോബിൻ പോയപ്പോ തന്നെ താങ്കളെ  കാണുമ്പോൾ ഉള്ള പോസിറ്റീവ് വൈബ്  അങ്ങ്   പോയി സൊ ഗുഡ് ബായ്  മുത്തേ പൊളിക്ക് പിന്ന മനസ്സിൽ ഉള്ളത്   ഇഷ്ടമാണോ  എന്താണെന്നോ അറിയിലിങ്കിൽ നമുക്ക് മനശാസ്ത്ര വിധക്തന്നോട്  ചോദിക്കാം അല്ലേ സിബിഐ നെ കൊണ്ട് അനുഷിക്കാം,Non-abusive
ഞാൻ എല്ലാം എപ്പിസോഡുംകാണും പക്ഷെ ഇ എപ്പിസോഡ് കാണാൻ തുടങ്ങിയപ്പഴേ ഒരു വെറുപ്പായിരുന്നു അനുപ് ഏട്ടൻ ഉള്ളത് കൊണ്ടുമാത്രം  കണ്ടതാണ്  അനുപ് ഏട്ട ഇനി ഇങ്ങനെയുള്ള ആളുകളെ ഇ പ്രോഗാമിൽ കൊണ്ടുവരാതിരിക്കാൻ നോക്കണം നല്ല പ്രോഗ്രാം അല്ലെ ഇത് അതുകൊണ്ട് പറഞ്ഞതാ,Non-abusive
കിഡ്നി അടിച്ചു പോയിട്ടും പറ ദൂഷണം പറയുന്നവർ ഉണ്ടോ,Abusive
വൃത്തി കെട്ടതു എന്ന് പറയുമ്പോൾ അതില്ലെങ്കിൽ ഉള്ള അവസ്ഥ ഒന്ന് ചിന്തിച്ചു നോക്കുക,Abusive
"""ആ നായിന്റെ മോളെ വിളിച്ച നംബറിങ് താ , ശെരിക്കുള്ളത് കൊടുത്തു കാണിച്ചു തരാം.""",Abusive
എങ്ങനെ എങ്കിലും ചാനൽ നു ക്യാഷ് ഉണ്ടാകണം,Non-abusive
ആര് കെട്ടാൻ ഇതിനെ  ?എന്തിന്     ?,Abusive
ചിന്തയുടെ കൂടെ നടന്നു അടുത്തുള്ള ചേച്ചി ചിന്തിചിരിക്കുന്നു. എന്നിട്ട് ഒരു കുന്തവും കിട്ടിയില്ല,Non-abusive
ജയിച്ചല്ലോ ആ പാവം ഡോക്ടറിനെ കരുവാക്കി ഇനി ഇതല്ല ഇതിനപ്പുറവും പറയും.....എന്താ അഭിനയം.... ഡോക്ടർ എന്തായാലും രക്ഷപ്പെട്ടു....,Abusive
കാശ്മീൻ കുറച്ചു സാമർദ്യം കുറക്കൂ... അടങ്ങി നിക്ക് പെണ്ണെ,Abusive
ദിൽഷ ചാനൽ അൺ സബ്സ്ക്രൈബ് ചെയ്യുക ഇൻസ്റ്റ ഗ്രാം  അൺ ഫോളോ ചെയ്യുക,Non-abusive
95% വ്യൂവേഴ്സ് അതായത് 2കൊടിയോളം ജനങളുടെ വിഷമം innale ഉണ്ടാക്കിയത് ചേച്ചി ആണ്.... ഫ്രണ്ട്സാണെങ്കിൽ ഓക്കേ... But the waybyou presented it is not right.. Pls respect dr... He supported you the most when you are alone,Non-abusive
തന്റെ ചേച്ചി പറഞ്ഞല്ലോ അവരാണ് ഡോക്ടർ റോബിനെ കൊണ്ട്  എല്ലാം പറയിപ്പിച്ചതെന്നും.. അവർ പറഞ്ഞ കാര്യങ്ങൾ ആണ് റോബിൻ അകത്തു വന്നു തന്നോട് പറഞ്ഞത്  എന്നും. ഇപ്പോൾ വീട്ടുകാർക്ക് ഈ കര്യത്തിൽ ബന്ധം ഇല്ല എന്നൊരിക്കലും പറയരുത്.... തന്റെ വീട്ടുകാർ തന്നെ ആണ് റോബിനെ കൊണ്ടു പറയിപ്പിച്ചതെന്നാണ് ചേച്ചി പറഞ്ഞത്...,Non-abusive
നീ ആണ് പെണ്ണ് സമ്മതിച്ചു ഒന്നും പറയാൻ ഇല്ല നിനക്ക് അവാർഡ് കിട്ടും,Abusive
നല്ലോണം ന്യായീകരിച്ച് മെഴുക് . ഒരു ടൈമിൽ നല്ല ഇഷ്ടം ആയിരുന്നു . ഉള്ളത് പറയാലോ നിലപാട് ഇല്ലാത്ത പെണ്ണ് എന്ന നിലയിൽ വെറുത്തു പോയി .,Abusive
"""ദില്ഷാ..... ഇത് നിന്റെ ജീവിതം ആണ് , ഒരു മനുഷ്യന്റെയും അഭിപ്രായത്തിനും നീ വില കൊടുക്കേണ്ട കാര്യം ഇല്ല , നിന്റെ ജീവിതം എങ്ങനെ ആണെന്ന് നീ ആണ് തീരുമാനം എടുക്കേണ്ടത്...........,  ജീവിതം ഒരു ഗെയിം അല്ല ................, നാട്ടുകാരുടെ ഇഷ്ടത്തിനല്ല നിന്റെ ജീവിതം പോകേണ്ടത്, ഇത് ninte  ലൈഫ് ആണ് .............. നീ ഒരു മാസം വെറുതെ ഈ പൊട്ടത്തരങ്ങൾ ഒന്നും ശ്രെദ്ധിക്കാതെ ......നീ ഫാമിലിയോടൊപ്പം നിനക്ക് ഇഷ്ടമുള്ള  കാര്യങ്ങൾ ചെയ്തു .....പോകുക ഒരു മാസം കഴിയുമ്പോൾ നിന്റെ മനസ്സ് എന്ത് പറയുന്നു അത് ചെയുക .... ദൈവം അനുഗ്രഹിക്കട്ടെ .............""",Non-abusive
സ്വയം എന്തോ ആവാൻ നോക്കുവാ അയ്യോ കഷ്ട്ടം,Abusive
നിന്നെ ആരും സപ്പോർട് ചെയ്തിട്ടില്ല റോബിനെ ആണ് സപ്പോർട്ട് ചെയ്തത്,Non-abusive
ക്യാഷ് തിരിച്ചു കൊടുക്കാം എന്നുള്ള ക്ളീഷെ ഒന്നും വേണ്ട അത് ആർക്കും കിട്ടാനും പോവുന്നില്ല എന്ന് എല്ലാവർക്കും അറിയാം,Non-abusive
"""നിങ്ങൾ രണ്ടാളും എന്റെ ആരും അല്ല, പക്ഷെ ഇന്നലെ രാത്രി തുടങ്ങിയ വിഷമം ഇതുവരെ മാറിയിട്ടില്ല, ജോലി ചെയ്യാൻ പോലും പറ്റുന്നില്ല.""",Non-abusive
വടക്കൻ വീര ഘാഥയിലെ ഉണ്ണിയാർച്ചയാണ് നീ.. ദിൽ ഷാ,Non-abusive
സൂരജന്റെ കല്യാണം എപ്പോൾ നടക്കു അപ്പോൾ അറിയാം......,Non-abusive
നിന്നെ നിമിഷ ജാസ്മിൻ ഒക്കെ കുറ്റം  പറഞ്ഞപോഴും ആകെ സപ്പോർട്ഡോക്ടർ റോബിൻ ആയിരുന്ന്‌ വേറെ ആരും ഇല്ലാരുന്നു,Non-abusive
ദയവു ചെയ്ത് ഇതുപോലുള്ള ഊളകളേ ഒന്നും വച്ചു പരുപാടി ചെയ്യരുത് അനൂപ്.... ഉള്ള ഇഷ്ടം കൂടി പോകും,Non-abusive
റിയൽ ഫ്രണ്ട്ഷിപ് ഒരു വീഡിയോ കൊണ്ട് അവസാനിപ്പിക്കാൻ കഴിയുമോ.,Non-abusive
"""പാലം കടക്കുവോളം നാരായണ, പാലം കടന്നാലോ കൂരായണ..""",Non-abusive
ആ ഞെട്ടി ആദ്യം നിന്റെ ബ്രാ മുകളിൽ വലിച്ചു ഇടു അല്ലങ്കിൽ കുടിക്ക് ഇടു,Abusive
അടിപൊളി അടിപൊളി എല്ലാർക്കും ഹാപ്പി ആയല്ലോ ഇനി പിരിഞ്ഞു പോകാം,Non-abusive
ഇപ്പോളും ചാമ്പക്ക പോലെ പക്ഷെ ബെൽ ചാമ്പക്ക പോലെ,Abusive
നാറിയവനെ പേറിയാല് പേറിയവനും നാറുമെന്ന ആപ്ത വാക്യം ഓര്ത്തു പോയി ഡിസ് ലൈകുകള് കണ്ടപ്പോഴാണ്,Non-abusive
കേരള ജനതയെ വിഡ്ഢികൾ ആക്കാൻ ഇനിയും നീ ശ്രമിക്കരുത്. മാന്യമായി ഡോക്ടറേറ്റ് ഒഴിയുക. നിയമപരമായി ഇത് ചോദ്യം ചെയ്യും. ഒരു പാട്ടിനെ ഒക്കെ നീ ചോദ്യം ചെയ്തവൾ അല്ലേ?,Non-abusive
"""എൻറെ കെട്ടിയവൻ വല്ലോം ആയിരുന്നേൽ ഇപ്പോൾ പടം ആയി ചുമരിൽ ഇരുന്നേനെ,,, അത്രക്ക് സ്നേഹം ഉണ്ടേൽ വേറെ പെണ്ണുങ്ങളോടൊപ്പം സുഖിക്കാൻ പോവോ""",Non-abusive
രാഹുൽ ഗാന്ധി യുടെ ചെയറിൽ വാഴ വച്ചവർക്ക് വാഴയിൽ തന്നെ കിട്ടി പ്രകൃതി നിശ്ചയം,Non-abusive
നാട്ടിലെ ഓൺലൈൻ മീഡിയ  പറയുന്നത്  കേട്ട് പൊട്ടികരായണേൽ. ഇവിടെ എത്രപേര്  ജീവിതം അവസാനിപ്പിച്ചേനെ. നേരിട്ട് അറിയാവുന്നവരെ ഇമ്മാതിരി ന്യൂസ്‌ കണ്ട് വിലയിരുത്തരുത്,Non-abusive
"""തന്നെ തട്ടിയിട്ടു കളിക്കുന്നത് സൂരജ് ആണ് .. അതുമനസിലാക്കു.... ചുമ്മാ എന്റെ ഫാമിലി എന്റെ അച്ഛനും അമ്മയും, വെറുതെ ചറ പറ സംസാരിക്കാതെ കണ്ണ് തുറന്ന് കാണു...30 വയസായി എന്ന് നാഴികയ്ക്ക് 40 വട്ടം പറയുന്നുണ്ടല്ലോ.... കൂടെ ഉള്ളവരും ചതിക്കുന്നത് കൂടി കാണു """,Abusive
ഇത് എന്ന് പറയണമായിരുന്നു ദിൽഷ ചേച്ചി,Non-abusive
ജ സ്ലാക്ക് ഒരിക്കലും ദി നിയാവ് മ്യ ത്രു മതി ഇവൾ ഉസ്ലാമ് വിട്ട വളാണ്,Non-abusive
അയ്യോ മൂസയുടെ മോള്  ദാ ഇരിക്കുന്നു ഇപ്പോൾ തെറി വിളിക്കും ഓടിക്കോ,Abusive
ലാലേട്ടൻ വരുന്നതിന് മുൻപ് പേടിച്ചോടിയ സാധനം,Non-abusive
അനൂപ് ചേട്ടാ ഇവളൊക്കെ എന്താണ് സമൂഹത്തിനു വേണ്ടി ചെയ്തിട്ടുള്ള ഇവിടൊക്കെ എന്താ പേര് വിളിക്കേണ്ടത്. നിങ്ങൾ നിങ്ങളുടെ വില ചുമ്മാതെ കളയല്ലേ. ഇപ്പോൾ ഇപ്പോൾ കുറച്ചെങ്കിലും ആൾക്കാരുണ്ട്  കാണാൻവേണ്ടി ഇവരുടെ പേര് പറഞ്ഞ് ആൾക്കാരോട് ഇറങ്ങിപ്പോകും. അല്ല അറിയാൻ വയ്യാഞ്ഞിട്ട് ചോദിക്കുവാ നിങ്ങളെ കൂതറകൾ ഒക്കെ പോന്നെന്തിനാ,Abusive
ഇതിനും മാത്രം എന്താ ആലോചിക്കാനുള്ളത്.. ഡോക്ടർ നെ വിവാഹം കഴിക്കാൻ എല്ലാർക്കും സമ്മതമാണല്ലോ.. ഡോക്ടർനോടുള്ള ഇഷ്ടം കൊണ്ടാണ് ഞാൻ വോട്ട് ചെയ്തത്..,Non-abusive
അല്ലേലും ഈ മലയാളികളുടെ ഒരു വൃത്തികെട്ട സ്വഭാവം ആണ് ഒരാൾ ഉയരത്തിൽ എത്തുന്നത് കണ്ടാൽ അവർക്ക് തുടങ്ങും അസൂയയും കുശുമ്പും.. വല്ലാത്ത ജാതി... ആരെങ്കിലും ഒന്ന് നന്നാവട്ടെ എന്ന് ചിന്തിക്കാൻ പോലും ഉള്ള ബുന്ധി ഇല്ലാത്ത ജന്മങ്ങൾ ആയല്ലോ അല്ലാഹ് ഈ കമന്റ്‌ ഇടുന്നവർക്ക്,Non-abusive
ഏത്തക്കുല പൂവ൯കുല ചിന്ത കുല അതോ യുവജനകുലയോ,Non-abusive
എന്തു ചെയ്തിട്ടും ചേച്ചിക്ക് സിനിമയിൽ ഒരു അവസരം കൊടുക്കുന്നില്ല എല്ലാം ഒരു രീൻ്ററിക് വേണ്ടിയാണ്.,Non-abusive
ഇതൊക്കെ ആദ്യമേ പറഞ്ഞിരുന്നെങ്കിൽ ഇങ്ങനെ ഒരു വീഡിയോന്റെ ആവശ്യം വരുവായിരുന്നോ മോളെ...,Non-abusive
ആരെങ്കിലും ചൂണ്ടികാണിച്ചില്ലായിരുന്നുവെങ്കിൽ കുല വൈലോപ്പള്ളി കൊണ്ടുപോയേനെ.. വെള്ളാപ്പള്ളിയുടെ നിർഭാഗ്യം,Non-abusive
ഇവളെവിടെ കട്ടികൂട്ടിയതൊക്ക കണ്ടതല്ലേ പിന്നെ ഒലക്കമ്മലെ വർത്താനം... ഇതും ഇന്റർവ്യൂ ചെയ്യാനും കുറേ എണ്ണം കഷ്ടം,Abusive
ഞങ്ങൾക്ക് പറയാനുള്ളത് ഏത് ബ്രാൻഡ് ആണെന്ന് ഞങ്ങളോടും കൂടി പറഞ്ഞേ പറ്റു... ഇടക്ക് കൈയിൽ ഇട്ടു തിരുമ്മി എടുക്കുന്നതും വേണം,Abusive
അഹങ്കാരത്തിൻ്റെ പര്യായം എന്ന വാക്കിന് ജസ്ല മാടശ്ശേരി എന്ന പുതിയ ലിപി കണ്ടെത്തിയ വിവരം അറിയിക്കുന്നു.,Abusive
നിന്നേക്കാൾ എത്രയോ നല്ല പെൺകുട്ടിയെ കിട്ടും പാവം ഡോക്ടറിന്..,Non-abusive
"""കേരളത്തിൽ പ്രസവ അവധി 6 മാസം അല്ലെ,""",Non-abusive
മലയാളത്തിൽ ചെഗുവേര യെ പറ്റി ഒക്കെ പ്രസംഗികുമ്പോൾ രൗദ്ര വീര ശൂര ഭാവങ്ങൾ ആണ്(ചെഗുവേരയെ ഒക്കെ പണ്ട് എതിർത്തവർ തന്നെ ഇന്ന് ചെഗുവേരയെ വിറ്റ് ജീവിക്കുന്നു )... ഇംഗ്ലീഷിൽ ആയപ്പോ ഒരു പരുങ്ങൽ പിഎച്ച്ഡി ഒക്കെ ഉള്ളയാൾ പൂച്ചക്കുട്ടിയായി....,Non-abusive
മണ്ടി ആയി  അഭിനയിക്കുക  അല്ലാതെ വേറെ നിവൃത്തിയില്ല,Abusive
താങ്കൾ പ്രൊമോഷൻ ചെയ്യുന്ന പ്രോഡക്റ്റ് എന്താ ഏതാ എന്ന് അന്ന്വേഷിക്കൽ താങ്കളുടെ ഉത്തരവാദിത്തം അല്ലെ എന്ത് വെളുപ്പിക്കൽ ‍,Non-abusive
ഇപ്പോഴെങ്കിലും പറഞ്ഞല്ലോ അത് മതി നന്ദിയുണ്ട് നിങ്ങളുടെ ഫാമിലി ഫ്രണ്ട് സൂരജ് ആണ് പ്രശ്നം ഇത്രയും വഷളാക്കിയത് അല്ലാതെ ഡോക്ടർ റോബിനോ റോബിന്റെ വീട്ടുകാരോ അല്ല നന്നായി വാ മോളെ ആ സൂരജിനെ ഒഴിവാക്കുന്നതാണ് നിങ്ങൾക്ക് നല്ലത് അവൻ വിഷമാണ്...,Non-abusive
അറിയാത്ത കാര്യങ്ങൾ പറയാതെയും ചെയ്യാതെയും ഇരിക്കുക...,Non-abusive
ഇതൊന്നും കാണാനും കേൾക്കാനും ചങ്ങമ്പുഴയും വൈലോപ്പിള്ളിയും ഇല്ലാതിരുന്നത് ഭാഗ്യം,Abusive
നീ പോടി നീ ഒരു ബിഗ് ഫേക്ക് ആണെന്ന് പണ്ടേ ജനങ്ങൾ തിരിച്ചറിഞ്ഞതാണ് ആ ഡോക്ടർ സപ്പോർട്ട് കൂടി മാത്രമാണ് നീ ഫൈനൽ ഫൈവിൽ എത്തിയത് നീ അതിന്റെ ഉള്ളിലുള്ള കാര്യം ഒന്നും പറയണ്ട-മോളെ,Abusive
പ്രബന്ധം   കബന്ധം  ആയി ഏങ്കിലും  തൊലിക്കട്ടി അപാരം  തന്നെ. നല്ല ഭാവി  ഉണ്ട്.,Abusive
ദിലു ഇങ്ങനെ കരയല്ലേ.... ശരിക്കും സങ്കടമായി സമാധാനത്തോടെ സ്വസ്ഥമായി ആലോചിച്ചു ഒരു തീരുമാനം എടുക്കുക.... എന്ത് തന്നെ ആയാലും ഞങ്ങൾ  സ്വീകരിക്കും....,Non-abusive
അപ്പൊ എല്ലാരും അങ്കടും ഇങ്കടും സപ്പോർട്ട് ചെയ്യണം ട്ടോ..,Abusive
"""നീ ഒന്ന് മനുഷ്യ സ്ത്രീ യുടെ വേഷത്തിൽ നടക്കാൻ നോക്ക്,""",Abusive
സുഹാനയുടെ ഈ ജീവിതം കണ്ട് കുറച്ചെങ്കിലും മകളോട് സ്നേഹം ഉണ്ടെങ്കിൽ അവളെ സ്വികരിക്ക് എങ്കിൽ അവൾ ഈ നശിച്ച ജീവിതം അവസാനിപിച്ചു മക്കളെയും കൊണ്ട് അന്തസ്സോടെ തനിച്ചു ജീവിചേനെ,Non-abusive
അത് നീ നിന്റെ പേജ് നോക്കുന്നത് കൊണ്ടാ നിനക്ക് അങ്ങനെ തോന്നുന്നത്... എന്റെ പേജ് നോക്,Abusive
സാന്ദർപ്പികമായ പിഴവ് എന്ന് നീ അങ്ങു പറഞ്ഞാൽ മതിയോ ? കോണ്ടക്ച്വൽ പോലും .,Non-abusive
ഇപ്പൊ ദിൽഷ  കാണിക്കുന്ന 40 വയസ്സിന്റെ പക്വത ആ ഹൗസിൽ കാണിച്ചിരുന്നെങ്കിൽ....... സാദാ പ്രേക്ഷകൻ ആയി സീസൺ 4 മുഴുവൻ കണ്ടിട്ട് വാ.... എന്നിട്ട് വന്നു ലൈവ് ഇട്.,Non-abusive
മക്കളെന്ന്  മൂന്നും ഒരുപോലെയാ അതിൽ ഇളയത് ഒന്നുമില്ല. മൂന്ന് മക്കളും മശൂരടെ ആയിരുന്നു എങ്കിൽ മശൂര പറയുവോ ഒരാളെയാ കൂടുതൽ ഇഷ്ട്ടം മറ്റു രണ്ടുപേർ പിന്നേയുള്ളു എന്ന് കഷ്ടം,Abusive
എന്തിനാണ് ഈ കണ്ടതിനെ ഒകെ എടുത്ത് ഗുലുമാളിന്റെ വില കളയുന്നത്.,Abusive
തേപ്പ് എന്ന് പറഞാൽ ഇതായിരിക്കണം കാര്യം കഴിഞാൽ കൂരായണ ....,Abusive
ഫസ്റ്റഫോൾ... നിങ്ങൾ നിങ്ങടെ ഗംഭീര നൃത്തവുമായി മുന്നോട്ട് പോവുക. പ്രണയവും വിവാഹവും ഒക്കെ വളരെക്കാലം ചിന്തിച്ച് ചെയ്യേണ്ട ഒന്നാണ്. അതിനൊക്കെ ഇനിയും എത്രയോ കാലം കിടക്കുന്നു. ചടുല നൃത്തവും യാത്രയും സുഹൃത്തുക്കളുമായി ജീവിതം ഗംഭീരമായി മുന്നോട്ടു പോവട്ടെ എന്നാശംസിക്കുന്നു.,Non-abusive
എന്തിനാ ഇത്ര കഷ്ടപ്പെട്ട് ഇംഗ്ലീഷ് പരായുന്നെ. മലയാളത്തിൽ പറഞാൽ പോരെ.,Non-abusive
കരയല്ലപ്പാ.... ഫിനാലെ ടൈമിൽ ഡോക്ടർ ഇയാൾക്കു വേണ്ടി കുറെ കഷ്ടപ്പെട്ടിട്ടുണ്ട്...ജീവിക്കേണ്ടത് നീയാണ്...തീരുമാനം നിന്റേതാണ്... മറ്റുള്ളവർ എന്ത് വിചാരിക്കുമെന്ന ആശങ്ക വേണ്ട.... നല്ലൊരു നാളെ നിന്നിൽ ഉണ്ടാവട്ടെ എന്ന ആഗ്രഹത്തോടെ...,Non-abusive
നിന്നെ ഇനി ആരും സപ്പോർട്ട് ചെയ്യില്ല പോടീ,Abusive
ഫാമിലിക് വാല്യൂ  കൊടുക്കുന്ന നല്ല ബോൾഡ് ആയ ഒരു പെണ്ണാണ് നീ  നമ്മൾ നമ്മളായിട്ട്  നിൽക്കുക അത്  എവിടെയും  അങ്ങനെ തന്നെ,Non-abusive
